session_id,scenario_name,student_role,ai_model,first_mover,config,total_rounds,outcome,major,gender,negotiation_experience,created_at,updated_at
e2c74589-a254-4c07-b9bf-30c6e7731dc5,Top_talent,side2,openai/gpt-5,👤 Student,🧠🎯 M+P,6,✅ Deal,Management Science,Female,Occasional,2025-12-15 04:15,2025-12-15 05:22
193137c9-e98c-4469-a6d5-8a7cdc64a888,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,Business,Male,Occasional,2025-12-15 03:37,2025-12-15 04:25
7ec48d17-e6f3-42a4-9f46-3904aa1981fe,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,Business,Male,Occasional,2025-12-15 02:01,2025-12-15 03:20
ee761dd4-c282-4d2d-8f64-ffbea87bf4a9,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,Business,Male,A few instances,2025-12-14 22:29,2025-12-15 00:14
19a684fd-c073-4efa-be42-5fb8fb0c71cc,Top_talent,side1,openai/gpt-5,👤 Student,🧠🎯 M+P,6,✅ Deal,GBS,Male,None,2025-12-14 19:01,2025-12-14 20:02
d5dec634-5257-4842-88e2-2e757861c7af,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,MBA,,,2025-12-14 15:32,2025-12-14 16:25
3a671be8-c525-48c3-bc3a-4704d3082994,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,SOM-GBS,Female,A few instances,2025-12-14 11:51,2025-12-14 13:22
ac95e52f-7f5d-406c-847a-918b0720abae,Top_talent,side1,openai/gpt-5,👤 Student,🧠🎯 M+P,6,✅ Deal,,,,2025-12-14 08:50,2025-12-14 09:51
1b32a648-9b8b-40d7-b1d0-6f168942eccd,Top_talent,side1,openai/gpt-5,👤 Student,🧠🎯 M+P,6,🔄 active,GBS,Male,A few instances,2025-12-14 07:35,2025-12-14 08:49
cce8dc84-416a-4c58-a660-25123483772a,Top_talent,side1,openai/gpt-5,👤 Student,🧠🎯 M+P,6,✅ Deal,Master in Management GBS,Female,,2025-12-14 03:16,2025-12-14 04:15
38206701-9a24-4081-96dd-33516b224464,Top_talent,side1,openai/gpt-5,👤 Student,🧠🎯 M+P,6,✅ Deal,MBA,Male,A few instances,2025-12-14 00:32,2025-12-14 01:38
27211dcc-8bdb-4065-8570-5981f8935eb5,Top_talent,side1,openai/gpt-5,👤 Student,🧠🎯 M+P,6,🔄 active,MBA,Male,A few instances,2025-12-14 00:05,2025-12-14 00:31
c1ce4aa2-4fc5-4c90-a6b6-d5dc34ed8123,Top_talent,side1,openai/gpt-5,👤 Student,🧠🎯 M+P,6,🔄 active,Master in Management GBS,Female,,2025-12-13 20:05,2025-12-13 21:19
bf6b7605-584c-4ae4-b251-87b03eb63ef8,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,⏹️ No Deal,,Female,A few instances,2025-12-13 19:55,2025-12-13 21:48
e0c4f291-77ad-4f1f-8811-b428ef4e49fb,Top_talent,side2,openai/gpt-5,👤 Student,🧠🎯 M+P,6,🔄 failed,GBS,Female,Occasional,2025-12-13 19:53,2025-12-13 22:17
